AÑO,ENTIDAD,EDAD,SEXO,POBLACION
2010,Zacatecas,8,Hombres,16254
2010,Zacatecas,8,Mujeres,15919
2010,Zacatecas,9,Hombres,16323
2010,Zacatecas,9,Mujeres,15965
2010,Zacatecas,10,Hombres,16291
2010,Zacatecas,10,Mujeres,15932
2010,Zacatecas,11,Hombres,16148
2010,Zacatecas,11,Mujeres,15804
2010,Zacatecas,12,Hombres,15989
2010,Zacatecas,12,Mujeres,15665
2010,Zacatecas,13,Hombres,15915
2010,Zacatecas,13,Mujeres,15616
2010,Zacatecas,14,Hombres,15920
2010,Zacatecas,14,Mujeres,15651
2010,Zacatecas,15,Hombres,15926
2010,Zacatecas,15,Mujeres,15704
2010,Zacatecas,16,Hombres,15865
2010,Zacatecas,16,Mujeres,15713
2010,Zacatecas,17,Hombres,15700
2010,Zacatecas,17,Mujeres,15648
2010,Zacatecas,18,Hombres,15406
2010,Zacatecas,18,Mujeres,15485
2010,Zacatecas,19,Hombres,14967
2010,Zacatecas,19,Mujeres,15202
2010,Zacatecas,20,Hombres,14421
2010,Zacatecas,20,Mujeres,14829
2010,Zacatecas,21,Hombres,13866
2010,Zacatecas,21,Mujeres,14447
2010,Zacatecas,22,Hombres,13331
2010,Zacatecas,22,Mujeres,14087
2010,Zacatecas,23,Hombres,12799
2010,Zacatecas,23,Mujeres,13740
2010,Zacatecas,24,Hombres,12266
2010,Zacatecas,24,Mujeres,13403
2010,Zacatecas,25,Hombres,11724
2010,Zacatecas,25,Mujeres,13064
2010,Zacatecas,26,Hombres,11172
2010,Zacatecas,26,Mujeres,12707
2010,Zacatecas,27,Hombres,10647
2010,Zacatecas,27,Mujeres,12349
2010,Zacatecas,28,Hombres,10190
2010,Zacatecas,28,Mujeres,12009
2010,Zacatecas,29,Hombres,9828
2010,Zacatecas,29,Mujeres,11703
2010,Zacatecas,30,Hombres,9575
2010,Zacatecas,30,Mujeres,11449
2011,Zacatecas,3,Hombres,16889
2011,Zacatecas,3,Mujeres,16351
2011,Zacatecas,4,Hombres,16615
2011,Zacatecas,4,Mujeres,16146
2011,Zacatecas,5,Hombres,16351
2011,Zacatecas,5,Mujeres,15955
2011,Zacatecas,6,Hombres,16231
2011,Zacatecas,6,Mujeres,15857
2011,Zacatecas,7,Hombres,16180
2011,Zacatecas,7,Mujeres,15823
2011,Zacatecas,8,Hombres,16211
2011,Zacatecas,8,Mujeres,15846
2011,Zacatecas,9,Hombres,16292
2011,Zacatecas,9,Mujeres,15903
2011,Zacatecas,10,Hombres,16345
2011,Zacatecas,10,Mujeres,15950
2011,Zacatecas,11,Hombres,16297
2011,Zacatecas,11,Mujeres,15911
2011,Zacatecas,12,Hombres,16130
2011,Zacatecas,12,Mujeres,15767
2011,Zacatecas,13,Hombres,15942
2011,Zacatecas,13,Mujeres,15613
2011,Zacatecas,14,Hombres,15839
2011,Zacatecas,14,Mujeres,15544
2011,Zacatecas,15,Hombres,15807
2011,Zacatecas,15,Mujeres,15555
2011,Zacatecas,16,Hombres,15774
2011,Zacatecas,16,Mujeres,15581
2011,Zacatecas,17,Hombres,15674
2011,Zacatecas,17,Mujeres,15563
2011,Zacatecas,18,Hombres,15476
2011,Zacatecas,18,Mujeres,15473
2011,Zacatecas,19,Hombres,15163
2011,Zacatecas,19,Mujeres,15291
2011,Zacatecas,20,Hombres,14717
2011,Zacatecas,20,Mujeres,14996
2011,Zacatecas,21,Hombres,14178
2011,Zacatecas,21,Mujeres,14616
2011,Zacatecas,22,Hombres,13637
2011,Zacatecas,22,Mujeres,14233
2011,Zacatecas,23,Hombres,13124
2011,Zacatecas,23,Mujeres,13881
2011,Zacatecas,24,Hombres,12621
2011,Zacatecas,24,Mujeres,13549
2011,Zacatecas,25,Hombres,12121
2011,Zacatecas,25,Mujeres,13233
2011,Zacatecas,26,Hombres,11612
2011,Zacatecas,26,Mujeres,12913
2011,Zacatecas,27,Hombres,11091
2011,Zacatecas,27,Mujeres,12575
2011,Zacatecas,28,Hombres,10594
2011,Zacatecas,28,Mujeres,12234
2011,Zacatecas,29,Hombres,10157
2011,Zacatecas,29,Mujeres,11908
2011,Zacatecas,30,Hombres,9814
2011,Zacatecas,30,Mujeres,11620
2012,Zacatecas,3,Hombres,17016
2012,Zacatecas,3,Mujeres,16436
2012,Zacatecas,4,Hombres,16821
2012,Zacatecas,4,Mujeres,16278
2012,Zacatecas,5,Hombres,16573
2012,Zacatecas,5,Mujeres,16097
2012,Zacatecas,6,Hombres,16396
2012,Zacatecas,6,Mujeres,15949
2012,Zacatecas,7,Hombres,16266
2012,Zacatecas,7,Mujeres,15856
2012,Zacatecas,8,Hombres,16215
2012,Zacatecas,8,Mujeres,15810
2012,Zacatecas,9,Hombres,16230
2012,Zacatecas,9,Mujeres,15809
2012,Zacatecas,10,Hombres,16285
2012,Zacatecas,10,Mujeres,15865
2012,Zacatecas,11,Hombres,16320
2012,Zacatecas,11,Mujeres,15905
2012,Zacatecas,12,Hombres,16249
2012,Zacatecas,12,Mujeres,15850
2012,Zacatecas,13,Hombres,16054
2012,Zacatecas,13,Mujeres,15692
2012,Zacatecas,14,Hombres,15841
2012,Zacatecas,14,Mujeres,15520
2012,Zacatecas,15,Hombres,15708
2012,Zacatecas,15,Mujeres,15429
2012,Zacatecas,16,Hombres,15644
2012,Zacatecas,16,Mujeres,15418
2012,Zacatecas,17,Hombres,15578
2012,Zacatecas,17,Mujeres,15420
2012,Zacatecas,18,Hombres,15451
2012,Zacatecas,18,Mujeres,15380
2012,Zacatecas,19,Hombres,15235
2012,Zacatecas,19,Mujeres,15274
2012,Zacatecas,20,Hombres,14916
2012,Zacatecas,20,Mujeres,15083
2012,Zacatecas,21,Hombres,14475
2012,Zacatecas,21,Mujeres,14782
2012,Zacatecas,22,Hombres,13952
2012,Zacatecas,22,Mujeres,14406
2012,Zacatecas,23,Hombres,13432
2012,Zacatecas,23,Mujeres,14034
2012,Zacatecas,24,Hombres,12946
2012,Zacatecas,24,Mujeres,13698
2012,Zacatecas,25,Hombres,12472
2012,Zacatecas,25,Mujeres,13385
2012,Zacatecas,26,Hombres,12002
2012,Zacatecas,26,Mujeres,13086
2012,Zacatecas,27,Hombres,11522
2012,Zacatecas,27,Mujeres,12784
2012,Zacatecas,28,Hombres,11027
2012,Zacatecas,28,Mujeres,12460
2012,Zacatecas,29,Hombres,10549
2012,Zacatecas,29,Mujeres,12132
2012,Zacatecas,30,Hombres,10131
2012,Zacatecas,30,Mujeres,11823
2013,Zacatecas,3,Hombres,17029
2013,Zacatecas,3,Mujeres,16436
2013,Zacatecas,4,Hombres,16958
2013,Zacatecas,4,Mujeres,16375
2013,Zacatecas,5,Hombres,16795
2013,Zacatecas,5,Mujeres,16247
